 date value 
 2022-01-01 0.001599346 
 2022-01-02 0.004878837 
 2022-01-03 0.0003055626 
 2022-01-04 0.001878984 
 2022-01-05 4.864461e-06 
 2022-01-06 0.003889579 
 2022-01-07 0.005964902 
 2022-01-08 0.005741725 
 2022-01-09 0.00192115 
 2022-01-10 0.002766505 
 2022-01-11 0.001068506 
 2022-01-12 9.721099e-10 
 2022-01-13 9.721099e-10 
 2022-01-14 1.937483e-06 
 2022-01-15 0.001673893 
 2022-01-16 0.00310738 
 2022-01-17        0 
 2022-01-18 4.114049e-05 
 2022-01-19 6.248834e-05 
 2022-01-20        0 
 2022-01-21        0 
 2022-01-22 6.866617e-06 
 2022-01-23 4.843183e-05 
 2022-01-24 6.654805e-05 
 2022-01-25 0.0001170382 
 2022-01-26 8.589506e-06 
 2022-01-27 0.0002500109 
 2022-01-28 4.202977e-05 
 2022-01-29 6.474787e-05 
 2022-01-30 8.351906e-05 
 2022-01-31 5.234812e-05 
 2022-02-01 0.0001006077 
 2022-02-02 9.180245e-05 
 2022-02-03 0.0001844027 
 2022-02-04 0.002710895 
 2022-02-05 0.0002414839 
 2022-02-06 0.005408311 
 2022-02-07 7.475749e-05 
 2022-02-08 0.0003763132 
 2022-02-09 0.002438107 
 2022-02-10 0.0007102325 
 2022-02-11 4.095107e-06 
 2022-02-12 0.0007528099 
 2022-02-13 0.01342608 
 2022-02-14 0.001742052 
 2022-02-15 0.005412534 
 2022-02-16 0.0007126759 
 2022-02-17 0.001664322 
 2022-02-18 0.002099767 
 2022-02-19 0.00363705 
 2022-02-20 0.003532805 
 2022-02-21 0.0003589313 
 2022-02-22 9.886951e-05 
 2022-02-23 0.0002983066 
 2022-02-24 0.003231855 
 2022-02-25 1.573148e-05 
 2022-02-26 4.374495e-09 
 2022-02-27 3.732139e-06 
 2022-02-28 0.006228922 
 2022-03-01 0.006857721 
 2022-03-02 0.003600149 
 2022-03-03 0.004425149 
 2022-03-04 0.0002545564 
 2022-03-05 0.000188276 
 2022-03-06 4.746527e-05 
 2022-03-07 0.000275933 
 2022-03-08 0.001041356 
 2022-03-09 0.003732648 
 2022-03-10 0.0004963693 
 2022-03-11 0.01294313 
 2022-03-12 0.01083284 
 2022-03-13 0.003720011 
